Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
21899.9272318,0.523124658018838,-3.9939864281436157,5.914360396677676,-2.2922033883162833,1.6961647657908605,-2.0806712743437985,1.3644712717775414,-1.1312600014612189
21899.9312728,0.6347170641628102,-4.045127801205366,5.924680750426832,-1.6785812383576486,1.5116491916608057,-1.9922172271290672,1.1634031150741357,-1.5185238546325017
21899.9312809,0.9589015055016112,-3.7985783931975945,5.917577297035987,-1.210389106882471,1.8162726408122876,-2.2580287261228422,0.6779890846235002,-2.103744301770477
21899.9472355,1.4546554457010452,-3.296779158198242,5.827124010738493,-1.0367186321072928,2.4711584480001902,-2.746111843987218,0.08898681903866823,-2.762315089185643
21899.9498377,2.0982631534197087,-2.536483972781848,5.642714687816703,-1.1414311990380108,2.9653056600541223,-3.264236747752109,-0.38989259656551,-3.3742389851530565
21899.9498465,2.7947260608867888,-1.5424855990939363,5.314974714744187,-1.2951805615421894,2.8732053128479293,-3.6677150447769824,-0.6068158912112014,-3.8707089918545963
21899.9522291,3.3442280257661996,-0.43068984294280366,4.781910782033074,-1.234127308001408,2.1683215398296336,-3.8915242692846173,-0.5392704764978498,-4.19884845090223
21899.9548408,3.5239023420311284,0.5970451975354139,4.065674215943696,-0.8922460303912807,1.1399054651929412,-3.9102939332853244,-0.27255967466793907,-4.251427582358636
21899.958825,3.2072772022259506,1.3135053106235575,3.276457815892713,-0.42537691195532945,0.129171005382559,-3.710301808409149,0.08703130731716646,-3.8777639210774693
21899.9647993,2.4193509362701775,1.55041649849209,2.506311188055383,-0.01350602197403461,-0.6190861135048045,-3.312314432022832,0.47771449661780885,-3.0088865519337893
21899.9712746,1.3208513285287429,1.2862147281226377,1.7742572492362296,0.3099578574680564,-0.9815696341863966,-2.794292343910459,0.8697154701095298,-1.7851346553683407
21899.971283,0.17780612000712548,0.7030695439923886,1.1186818297970964,0.613401842529465,-1.005222256353485,-2.2638310120481817,1.2034679907800299,-0.5473740587044373
