pipeline,channels,subject,accuracy,roc_auc
csp_svm,22ch,1,0.8506957047791893,0.9382877526753864
csp_svm,22ch,2,0.5834845735027223,0.6022677085102768
csp_svm,22ch,3,0.9653962492437991,0.9903261423475455
csp_svm,22ch,4,0.6845130066545675,0.7227110582639714
csp_svm,22ch,5,0.5486993345432547,0.5327925938508579
csp_svm,22ch,6,0.7325468844525106,0.7839306947511467
csp_svm,22ch,7,0.843859649122807,0.9234244946492269
csp_svm,22ch,8,0.9514216575922564,0.9946832002717854
csp_svm,22ch,9,0.8681790683605566,0.9253779514183795
csp_lda,22ch,1,0.8715668481548698,0.945549515882453
csp_lda,22ch,2,0.573200241984271,0.5932733140818753
csp_lda,22ch,3,0.9584392014519058,0.9932308476303721
csp_lda,22ch,4,0.6877797943133697,0.7523611347035841
csp_lda,22ch,5,0.576346037507562,0.5744182096144046
csp_lda,22ch,6,0.7359951603145796,0.8120095124851368
csp_lda,22ch,7,0.8370235934664245,0.9159334126040427
csp_lda,22ch,8,0.9514216575922564,0.9947171734329879
csp_lda,22ch,9,0.8473079249848758,0.9247324613555292
csp_rf,22ch,1,0.8300060496067754,0.9144555800917276
csp_rf,22ch,2,0.5415607985480944,0.5656998471207746
csp_rf,22ch,3,0.9444646098003631,0.9917827416341091
csp_rf,22ch,4,0.660193587416818,0.68166723288602
csp_rf,22ch,5,0.5137931034482758,0.5290597927637166
csp_rf,22ch,6,0.7221415607985481,0.7691990827246475
csp_rf,22ch,7,0.8369630973986691,0.9059537965007645
csp_rf,22ch,8,0.951361161524501,0.9915491761508408
csp_rf,22ch,9,0.8473684210526317,0.9176193307287244
csp_mlp,22ch,1,0.868118572292801,0.9490317649057245
csp_mlp,22ch,2,0.5834240774349667,0.606718192627824
csp_mlp,22ch,3,0.9618874773139744,0.9912858841515202
csp_mlp,22ch,4,0.6809437386569872,0.7550195345676916
csp_mlp,22ch,5,0.5727767695099818,0.5717428231696959
csp_mlp,22ch,6,0.7462794918330309,0.8113979955834889
csp_mlp,22ch,7,0.8370235934664245,0.9153643621538983
csp_mlp,22ch,8,0.9583787053841499,0.9942160693052488
csp_mlp,22ch,9,0.864670296430732,0.92833361644301
