EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
187111.600,178677.500,357990.900,412095.000,208295.300,193835.100,202065.000,189676.900,0.000
183859.200,174470.000,355446.500,405390.200,196427.500,190480.600,196666.700,184302.200,0.000
180981.900,170111.800,353024.900,397322.500,179758.100,187238.200,191060.800,179632.400,0.000
182261.000,171396.400,353797.700,398505.400,180882.200,188413.300,192720.300,181809.800,0.000
185910.100,176473.800,356538.300,406880.700,197726.500,192377.600,199276.500,187794.500,0.000
187111.600,178673.900,357524.100,411233.600,208236.300,193825.900,202053.600,189669.900,0.000
183882.900,174488.400,355002.600,404581.500,196434.600,190496.400,196684.700,184324.200,0.000
181032.800,170153.900,352598.200,396570.800,179848.800,187288.500,191111.100,179675.800,0.000
182299.900,171429.300,353367.700,397752.300,180962.200,188462.900,192766.300,181843.900,0.000
185908.900,176473.000,356090.200,406081.100,197721.900,192382.600,199273.800,187791.100,0.000
187098.500,178659.600,357067.700,410407.400,208175.800,193811.900,202028.200,189651.100,0.000
183892.500,174498.100,354563.900,403792.000,196421.200,190499.600,196686.200,184331.600,0.000
181061.200,170185.000,352176.200,395832.900,179913.100,187316.200,191146.100,179710.700,0.000
182320.400,171453.400,352943.000,397013.800,181022.000,188476.100,192789.200,181863.300,0.000
185897.800,176464.400,355651.100,405302.400,197701.400,192374.300,199264.700,187778.900,0.000
187081.700,178644.500,356628.900,409615.700,208111.100,193787.900,202004.300,189628.000,0.000
183893.400,174496.000,354134.700,403030.200,196403.900,190498.800,196683.600,184331.400,0.000
181075.000,170195.600,351753.400,395104.600,179964.800,187335.900,191166.200,179731.500,0.000
182335.300,171464.600,352527.300,396298.800,181087.700,188505.300,192816.100,181886.500,0.000
185895.500,176458.500,355231.900,404555.400,197690.700,192364.500,199253.800,187770.800,0.000
187059.500,178616.000,356203.600,408837.800,208029.200,193753.400,201967.900,189601.000,0.000
183888.100,174484.800,353722.500,402289.000,196375.100,190489.100,196676.900,184332.200,0.000
181097.600,170211.200,351360.100,394423.600,180034.600,187359.800,191198.200,179762.800,0.000
182348.000,171472.400,352128.100,395615.900,181148.300,188514.200,192831.700,181902.200,0.000
185886.800,176447.200,354824.900,403839.300,197670.700,192359.800,199243.300,187764.900,0.000
187036.400,178592.400,355792.300,408097.600,207949.800,193736.700,201939.300,189585.800,0.000
183889.100,174485.100,353327.400,401594.100,196353.700,190495.300,196675.200,184341.200,0.000
181122.100,170235.600,350979.300,393784.900,180096.500,187388.800,191224.700,179791.900,0.000
182359.500,171487.000,351740.800,394977.200,181202.700,188537.300,192850.700,181918.600,0.000
185868.600,176434.500,354420.600,403151.600,197639.300,192343.100,199221.400,187742.900,0.000
187009.700,178570.700,355386.100,407390.800,207873.200,193705.000,201903.000,189552.900,0.000
183884.100,174482.100,352936.200,400930.100,196318.000,190489.400,196669.800,184336.300,0.000
181146.400,170261.600,350610.200,393183.900,180127.500,187419.100,191259.500,179816.900,0.000
182378.700,171510.000,351374.300,394378.600,181232.100,188559.000,192877.100,181933.400,0.000
185859.600,176427.500,354044.100,402504.800,197606.000,192332.600,199209.400,187728.900,0.000
186984.900,178546.600,355006.400,406716.400,207800.000,193680.000,201872.300,189530.800,0.000
183879.100,174484.500,352572.300,400300.900,196296.600,190484.900,196666.800,184339.900,0.000
